编号,名称,规格,单位,单价,含量,主材标记,材料号,材料类别,是否有明细,,,
1B-31,半自动切割机厚度100mm,,台班,0.129,0.129,,,3,,,,
1B-31,剪板机厚度×宽度20×2500mm,,台班,0.007,0.007,,,3,,,,
1B-31,卷板机板厚×宽度30×2000mm,,台班,0.029,0.029,,,3,,,,
1B-31,汽车式起重机提升质量16t,,台班,0.396,0.396,,,3,,,,
1B-31,载重汽车装载质量10t,,台班,0.209,0.209,,,3,,,,
1B-31,真空泵抽气速度204m3/h,,台班,0.043,0.043,,,3,,,,
1B-31,电动空气压缩机排气量6m3/min,,台班,0.4,0.4,,,3,,,,
1B-31,轴流通风机功率30kW,,台班,0.305,0.305,,,3,,,,
1B-32,综合用工二类,,工日,4.21,3.595,,,1,,,,
1B-32,低碳钢焊条J427,,kg,16.625,12.051,,,2,,,,
1B-32,氧气,,m3,4.99,4.586,,,2,,,,
1B-32,乙炔气,,kg,1.663,1.627,,,2,,,,
1B-32,尼龙砂轮片Φ150,,片,3.715,3.7,,,2,,,,
1B-32,木方,,m3,0.012,0.012,,,2,,,,
1B-32,煤油,,kg,0.817,0.551,,,2,,,,
1B-32,白垩,,kg,0.656,0.447,,,2,,,,
1B-32,碳精棒Φ8~12,,根,8.265,7.125,,,2,,,,
1B-32,低碳钢焊条结507Φ3.2,,kg,0,6.443,,,2,,,,
1B-32,直流弧焊机容量32kV·A,,台班,2.654,2.499,,,3,,,,
1B-32,半自动切割机厚度100mm,,台班,0.129,0.129,,,3,,,,
1B-32,剪板机厚度×宽度20×2500mm,,台班,0.007,0.007,,,3,,,,
1B-32,卷板机板厚×宽度30×2000mm,,台班,0.029,0.019,,,3,,,,
1B-32,汽车式起重机提升质量16t,,台班,0.396,0.345,,,3,,,,
1B-32,载重汽车装载质量10t,,台班,0.209,0.209,,,3,,,,
1B-32,真空泵抽气速度204m3/h,,台班,0.043,0.036,,,3,,,,
1B-32,电动空气压缩机排气量6m3/min,,台班,0.4,0.333,,,3,,,,
1B-32,轴流通风机功率30kW,,台班,0.305,0.286,,,3,,,,
1B-33,综合用工二类,,工日,4.21,2.958,,,1,,,,
1B-33,低碳钢焊条J427,,kg,16.625,11.536,,,2,,,,
1B-33,氧气,,m3,4.99,4.04,,,2,,,,
1B-33,乙炔气,,kg,1.663,1.34,,,2,,,,
1B-33,尼龙砂轮片Φ150,,片,3.715,3.5,,,2,,,,
1B-33,木方,,m3,0.012,0.013,,,2,,,,
1B-33,煤油,,kg,0.817,0.432,,,2,,,,
1B-33,白垩,,kg,0.656,0.4,,,2,,,,
1B-33,碳精棒Φ8~12,,根,8.265,5.807,,,2,,,,
1B-33,低碳钢焊条结507Φ3.2,,kg,0,5.277,,,2,,,,
1B-33,直流弧焊机容量32kV·A,,台班,2.654,2.304,,,3,,,,
1B-33,半自动切割机厚度100mm,,台班,0.129,0.129,,,3,,,,
1B-33,剪板机厚度×宽度20×2500mm,,台班,0.007,0.007,,,3,,,,
1B-33,卷板机板厚×宽度30×2000mm,,台班,0.029,0.019,,,3,,,,
1B-33,汽车式起重机提升质量16t,,台班,0.396,0.276,,,3,,,,
1B-33,载重汽车装载质量10t,,台班,0.209,0.209,,,3,,,,
1B-33,真空泵抽气速度204m3/h,,台班,0.043,0.324,,,3,,,,
1B-33,电动空气压缩机排气量6m3/min,,台班,0.4,0.248,,,3,,,,
1B-33,轴流通风机功率30kW,,台班,0.305,0.19,,,3,,,,
1B-33,汽车式起重机提升质量25t,,台班,0,0.048,,,3,,,,
1B-34,综合用工二类,,工日,1.69,1.69,,,1,,,,
1B-34,镀锌铁丝综合,,kg,2.16,2.16,,,2,,,,
1B-34,乙炔气,,kg,0.029,0.029,,,2,,,,
1B-34,氧气,,m3,0.086,0.086,,,2,,,,
1B-34,低碳钢焊条J427,,kg,0.31,0.31,,,2,,,,
1B-34,平垫铁综合,,kg,4.385,4.385,,,2,,,,
1B-34,斜垫铁综合,,kg,10.234,10.234,,,2,,,,
1B-34,黄油,,kg,0.018,0.018,,,2,,,,
1B-34,二硫化钼,,kg,0.115,0.115,,,2,,,,
1B-34,道木,,m3,0.032,0.032,,,2,,,,
1B-34,尼龙砂轮片Φ150,,片,0.058,0.058,,,2,,,,
1B-34,汽车式起重机提升质量8t,,台班,0.28,0.28,,,3,,,,
1B-34,载重汽车装载质量5t,,台班,0.186,0.186,,,3,,,,
1B-34,直流弧焊机容量20kV·A,,台班,0.475,0.475,,,3,,,,
1B-35,综合用工二类,,工日,4.693,4.693,,,1,,,,
1B-35,镀锌铁丝综合,,kg,6,6,,,2,,,,
1B-35,低碳钢焊条J427,,kg,0.86,0.86,,,2,,,,
1B-35,乙炔气,,kg,0.08,0.08,,,2,,,,
1B-35,氧气,,m3,0.24,0.24,,,2,,,,
1B-35,平垫铁综合,,kg,12.18,12.18,,,2,,,,
1B-35,斜垫铁综合,,kg,28.427,28.427,,,2,,,,
1B-35,黄油,,kg,0.05,0.05,,,2,,,,
1B-35,二硫化钼,,kg,0.32,0.32,,,2,,,,
1B-35,道木,,m3,0.09,0.09,,,2,,,,
1B-35,尼龙砂轮片Φ150,,片,0.16,0.16,,,2,,,,
1B-35,汽车式起重机提升质量16t,,台班,0.466,0.466,,,3,,,,
1B-35,载重汽车装载质量5t,,台班,0.186,0.186,,,3,,,,
1B-35,直流弧焊机容量20kV·A,,台班,0.475,0.475,,,3,,,,
1B-36,综合用工二类,,工日,4.693,9.073,,,1,,,,
1B-36,镀锌铁丝综合,,kg,6,12,,,2,,,,
1B-36,低碳钢焊条J427,,kg,0.86,1.65,,,2,,,,
1B-36,乙炔气,,kg,0.08,0.19,,,2,,,,
1B-36,氧气,,m3,0.24,0.57,,,2,,,,
1B-36,平垫铁综合,,kg,12.18,14.154,,,2,,,,
1B-36,斜垫铁综合,,kg,28.427,33.033,,,2,,,,
1B-36,黄油,,kg,0.05,0.12,,,2,,,,
1B-36,二硫化钼,,kg,0.32,0.57,,,2,,,,
1B-36,道木,,m3,0.09,0.12,,,2,,,,
1B-36,尼龙砂轮片Φ150,,片,0.16,0.29,,,2,,,,
1B-36,汽车式起重机提升质量16t,,台班,0.466,0.596,,,3,,,,
1B-36,载重汽车装载质量5t,,台班,0.186,0.279,,,3,,,,
1B-36,直流弧焊机容量20kV·A,,台班,0.475,0.875,,,3,,,,
2B-1,综合用工二类,,工日,52.979,52.979,,,1,,,,
2B-2,综合用工二类,,工日,52.979,41.721,,,1,,,,
2B-3,综合用工二类,,工日,52.979,2.889,,,1,,,,
2B-3,草袋,,条,0,0.5,,,2,,,,
2B-3,钢丝绳Φ4.5,,kg,0,1,,,2,,,,
2B-3,钢材,,kg,0,5,,,2,,,,
2B-3,木材(方材、板材),,m3,0,0.01,,,2,,,,
2B-3,汽车式起重机提升质量8t,,台班,0,0.25,,,3,,,,
2B-3,载重汽车装载质量5t,,台班,0,0.66,,,3,,,,
2B-4,综合用工二类,,工日,52.979,0.153,,,1,,,,
2B-4,载重汽车装载质量5t,,台班,0,0.035,,,3,,,,
2B-5,综合用工二类,,工日,0.321,0.321,,,1,,,,
2B-6,综合用工二类,,工日,0.321,0.142,,,1,,,,
2B-7,综合用工二类,,工日,0.321,0.116,,,1,,,,
2B-8,综合用工二类,,工日,0.321,0.068,,,1,,,,
2B-8,木柴,,kg,0,2,,,2,,,,
2B-8,石油沥青10#,,kg,0,1.7,,,2,,,,
2B-9,综合用工二类,,工日,0.189,0.189,,,1,,,,
2B-9,镀锌铁丝8#~12#,,kg,1.015,1.015,,,2,,,,
2B-9,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-9,石油沥青10#,,kg,0.5,0.5,,,2,,,,
2B-9,其他材料,,%,2,2,,,2,,,,
2B-10,综合用工二类,,工日,0.189,0.289,,,1,,,,
2B-10,镀锌铁丝8#~12#,,kg,1.015,1.015,,,2,,,,
2B-10,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-10,石油沥青10#,,kg,0.5,0.5,,,2,,,,
2B-10,其他材料,,%,2,2,,,2,,,,
2B-11,综合用工二类,,工日,0.189,0.416,,,1,,,,
2B-11,镀锌铁丝8#~12#,,kg,1.015,1.015,,,2,,,,
2B-11,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-11,石油沥青10#,,kg,0.5,0.5,,,2,,,,
2B-11,其他材料,,%,2,2,,,2,,,,
2B-12,综合用工二类,,工日,0.189,0.489,,,1,,,,
2B-12,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-12,木材(方材、板材),,m3,0,0.002,,,2,,,,
2B-12,其他材料,,%,2,2,,,2,,,,
2B-12,汽车式起重机提升质量8t,,台班,0,0.08,,,3,,,,
2B-13,综合用工二类,,工日,0.189,0.689,,,1,,,,
2B-13,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-13,木材(方材、板材),,m3,0,0.002,,,2,,,,
2B-13,其他材料,,%,2,2,,,2,,,,
2B-13,汽车式起重机提升质量8t,,台班,0,0.08,,,3,,,,
2B-14,综合用工二类,,工日,0.189,0.984,,,1,,,,
2B-14,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-14,木材(方材、板材),,m3,0,0.002,,,2,,,,
2B-14,其他材料,,%,2,2,,,2,,,,
2B-14,汽车式起重机提升质量8t,,台班,0,0.12,,,3,,,,
2B-15,综合用工二类,,工日,0.189,1.363,,,1,,,,
2B-15,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-15,木材(方材、板材),,m3,0,0.002,,,2,,,,
2B-15,其他材料,,%,2,2,,,2,,,,
2B-15,汽车式起重机提升质量8t,,台班,0,0.12,,,3,,,,
2B-16,综合用工二类,,工日,0.705,0.705,,,1,,,,
2B-16,镀锌铁丝8#~12#,,kg,4.06,4.06,,,2,,,,
2B-16,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-16,石油沥青10#,,kg,1,1,,,2,,,,
2B-16,其他材料,,%,2,2,,,2,,,,
2B-17,综合用工二类,,工日,0.705,0.805,,,1,,,,
2B-17,镀锌铁丝8#~12#,,kg,4.06,4.06,,,2,,,,
2B-17,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-17,石油沥青10#,,kg,1,1,,,2,,,,
2B-17,其他材料,,%,2,2,,,2,,,,
2B-18,综合用工二类,,工日,0.705,0.932,,,1,,,,
2B-18,镀锌铁丝8#~12#,,kg,4.06,4.06,,,2,,,,
2B-18,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-18,石油沥青10#,,kg,1,1,,,2,,,,
2B-18,其他材料,,%,2,2,,,2,,,,
2B-19,综合用工二类,,工日,0.705,1.737,,,1,,,,
2B-19,镀锌铁丝8#~12#,,kg,4.06,7.61,,,2,,,,
2B-19,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-19,石油沥青10#,,kg,1,1.4,,,2,,,,
2B-19,其他材料,,%,2,2,,,2,,,,
2B-20,综合用工二类,,工日,0.705,0.621,,,1,,,,
2B-20,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-20,石油沥青10#,,kg,1,0.4,,,2,,,,
2B-20,其他材料,,%,2,2,,,2,,,,
2B-21,综合用工二类,,工日,0.705,0.721,,,1,,,,
2B-21,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-21,石油沥青10#,,kg,1,0.4,,,2,,,,
2B-21,其他材料,,%,2,2,,,2,,,,
2B-22,综合用工二类,,工日,0.705,0.853,,,1,,,,
2B-22,酚醛磁漆各种颜色,,kg,0.02,0.02,,,2,,,,
2B-22,石油沥青10#,,kg,1,0.4,,,2,,,,
2B-22,其他材料,,%,2,2,,,2,,,,
2B-23,综合用工二类,,工日,0.479,0.479,,,1,,,,
2B-23,镀锌铁丝8#~12#,,kg,2.54,2.54,,,2,,,,
2B-23,石油沥青10#,,kg,0.5,0.5,,,2,,,,
2B-23,其他材料,,%,2,2,,,2,,,,
2B-24,综合用工二类,,工日,0.479,0.753,,,1,,,,
2B-24,镀锌铁丝8#~12#,,kg,2.54,2.54,,,2,,,,
2B-24,石油沥青10#,,kg,0.5,0.5,,,2,,,,
2B-24,其他材料,,%,2,2,,,2,,,,
2B-25,综合用工二类,,工日,0.479,1.042,,,1,,,,
2B-25,镀锌铁丝8#~12#,,kg,2.54,2.54,,,2,,,,
2B-25,石油沥青10#,,kg,0.5,0.5,,,2,,,,
2B-25,其他材料,,%,2,2,,,2,,,,
2B-26,综合用工二类,,工日,0.479,0.695,,,1,,,,
2B-26,汽车式起重机提升质量8t,,台班,0,0.08,,,3,,,,
2B-27,综合用工二类,,工日,0.479,0.895,,,1,,,,
2B-27,汽车式起重机提升质量8t,,台班,0,0.08,,,3,,,,
2B-28,综合用工二类,,工日,0.479,1.295,,,1,,,,
2B-28,汽车式起重机提升质量8t,,台班,0,0.12,,,3,,,,
2B-29,综合用工二类,,工日,0.479,0.637,,,1,,,,
2B-29,碳钢气焊条综合,,kg,0,0.71,,,2,,,,
2B-29,乙炔气,,kg,0,0.69,,,2,,,,
2B-29,氧气,,m3,0,1.6,,,2,,,,
2B-29,铁砂布0~2#,,张,0,0.5,,,2,,,,
2B-29,调和漆,,kg,0,0.1,,,2,,,,
2B-29,防锈漆C53-1,,kg,0,0.2,,,2,,,,
2B-30,综合用工二类,,工日,0.168,0.168,,,1,,,,
2B-30,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-30,镀锌铁丝8#~12#,,kg,0.5,0.5,,,2,,,,
2B-30,调和漆,,kg,0.02,0.02,,,2,,,,
2B-31,综合用工二类,,工日,0.168,0.268,,,1,,,,
2B-31,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-31,镀锌铁丝8#~12#,,kg,0.5,0.7,,,2,,,,
2B-31,调和漆,,kg,0.02,0.03,,,2,,,,
2B-32,综合用工二类,,工日,0.168,0.116,,,1,,,,
2B-32,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-33,综合用工二类,,工日,0.168,0.226,,,1,,,,
2B-33,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-34,综合用工二类,,工日,0.1,0.1,,,1,,,,
2B-34,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-34,镀锌铁丝8#~12#,,kg,0.4,0.4,,,2,,,,
2B-34,调和漆,,kg,0.02,0.02,,,2,,,,
2B-35,综合用工二类,,工日,0.1,0.142,,,1,,,,
2B-35,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-35,镀锌铁丝8#~12#,,kg,0.4,0.5,,,2,,,,
2B-35,调和漆,,kg,0.02,0.02,,,2,,,,
2B-36,综合用工二类,,工日,0.1,0.221,,,1,,,,
2B-36,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-36,镀锌铁丝8#~12#,,kg,0.4,0.7,,,2,,,,
2B-36,调和漆,,kg,0.02,0.03,,,2,,,,
2B-37,综合用工二类,,工日,0.1,0.174,,,1,,,,
2B-37,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-37,镀锌铁丝8#~12#,,kg,0.4,0.5,,,2,,,,
2B-37,调和漆,,kg,0.02,0.02,,,2,,,,
2B-38,综合用工二类,,工日,0.1,0.279,,,1,,,,
2B-38,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-38,镀锌铁丝8#~12#,,kg,0.4,0.7,,,2,,,,
2B-38,调和漆,,kg,0.02,0.03,,,2,,,,
2B-39,综合用工二类,,工日,0.1,0.1,,,1,,,,
2B-39,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-40,综合用工二类,,工日,0.126,0.126,,,1,,,,
2B-40,棉纱头,,kg,0.03,0.03,,,2,,,,
2B-40,调和漆,,kg,0.02,0.02,,,2,,,,
2B-40,合金钢钻头φ16,,个,0.01,0.01,,,2,,,,
2B-40,其他材料,,%,2,2,,,2,,,,
2B-41,综合用工二类,,工日,0.126,0.189,,,1,,,,
2B-41,棉纱头,,kg,0.03,0.05,,,2,,,,
2B-41,调和漆,,kg,0.02,0.03,,,2,,,,
2B-41,合金钢钻头φ16,,个,0.01,0.01,,,2,,,,
2B-41,地脚螺栓M12×160,,10套,0,0.102,,,2,,,,
2B-41,镀锌精制带帽螺栓M12×100以内2平1弹垫,,10套,0,0.1,,,2,,,,
2B-41,镀锌圆钢φ16×1000,,kg,0,1.05,,,2,,,,
2B-41,其他材料,,%,2,2,,,2,,,,
2B-42,综合用工二类,,工日,0.126,0.258,,,1,,,,
2B-42,棉纱头,,kg,0.03,0.05,,,2,,,,
2B-42,调和漆,,kg,0.02,0.03,,,2,,,,
2B-42,合金钢钻头φ16,,个,0.01,0.01,,,2,,,,
2B-42,地脚螺栓M12×160,,10套,0,0.102,,,2,,,,
2B-42,镀锌精制带帽螺栓M12×100以内2平1弹垫,,10套,0,0.1,,,2,,,,
2B-42,镀锌圆钢φ16×1000,,kg,0,1.05,,,2,,,,
2B-42,其他材料,,%,2,2,,,2,,,,
2B-43,综合用工二类,,工日,0.126,0.168,,,1,,,,
2B-43,棉纱头,,kg,0.03,0.05,,,2,,,,
2B-43,调和漆,,kg,0.02,0.02,,,2,,,,
2B-43,合金钢钻头φ16,,个,0.01,0.02,,,2,,,,
2B-43,其他材料,,%,2,2,,,2,,,,
2B-44,综合用工二类,,工日,0.126,0.189,,,1,,,,
2B-44,棉纱头,,kg,0.03,0.05,,,2,,,,
2B-44,调和漆,,kg,0.02,0.03,,,2,,,,
2B-44,合金钢钻头φ16,,个,0.01,0.02,,,2,,,,
2B-44,镀锌精制带帽螺栓M12×100以内2平1弹垫,,10套,0,0.408,,,2,,,,
2B-44,镀锌铁拉板40×4×200~350,,块,0,8.4,,,2,,,,
2B-44,镀锌精制带帽螺栓M12×150以内2平1弹垫,,10套,0,0.41,,,2,,,,
2B-44,其他材料,,%,2,2,,,2,,,,
2B-45,综合用工二类,,工日,0.126,0.211,,,1,,,,
2B-45,棉纱头,,kg,0.03,0.05,,,2,,,,
2B-45,调和漆,,kg,0.02,0.03,,,2,,,,
2B-45,合金钢钻头φ16,,个,0.01,0.02,,,2,,,,
2B-45,镀锌精制带帽螺栓M12×100以内2平1弹垫,,10套,0,0.612,,,2,,,,
2B-45,镀锌铁拉板40×4×200~350,,块,0,12.6,,,2,,,,
2B-45,镀锌精制带帽螺栓M12×150以内2平1弹垫,,10套,0,0.61,,,2,,,,
2B-45,其他材料,,%,2,2,,,2,,,,
2B-46,综合用工二类,,工日,0.232,0.232,,,1,,,,
2B-46,镀锌铁丝8#~12#,,kg,0.23,0.23,,,2,,,,
2B-46,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-46,钢锯条,,根,0.5,0.5,,,2,,,,
2B-47,综合用工二类,,工日,0.232,0.284,,,1,,,,
2B-47,镀锌铁丝8#~12#,,kg,0.23,0.23,,,2,,,,
2B-47,防锈漆C53-1,,kg,0.05,0.07,,,2,,,,
2B-47,钢锯条,,根,0.5,1,,,2,,,,
2B-48,综合用工二类,,工日,0.232,0.342,,,1,,,,
2B-48,镀锌铁丝8#~12#,,kg,0.23,0.23,,,2,,,,
2B-48,防锈漆C53-1,,kg,0.05,0.08,,,2,,,,
2B-48,钢锯条,,根,0.5,1.5,,,2,,,,
2B-49,综合用工二类,,工日,0.232,0.526,,,1,,,,
2B-49,镀锌铁丝8#~12#,,kg,0.23,0.23,,,2,,,,
2B-49,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-49,钢锯条,,根,0.5,0.5,,,2,,,,
2B-50,综合用工二类,,工日,0.232,0.705,,,1,,,,
2B-50,镀锌铁丝8#~12#,,kg,0.23,0.23,,,2,,,,
2B-50,防锈漆C53-1,,kg,0.05,0.07,,,2,,,,
2B-50,钢锯条,,根,0.5,1,,,2,,,,
2B-51,综合用工二类,,工日,0.232,0.774,,,1,,,,
2B-51,镀锌铁丝8#~12#,,kg,0.23,0.23,,,2,,,,
2B-51,防锈漆C53-1,,kg,0.05,0.08,,,2,,,,
2B-51,钢锯条,,根,0.5,1.5,,,2,,,,
2B-52,综合用工二类,,工日,2.221,2.221,,,1,,,,
2B-52,裸铝绞线,,m,1013,1013,*,,5,,,,
2B-52,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-52,汽油,,kg,0.05,0.05,,,2,,,,
2B-52,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-52,钢锯条,,根,0.8,0.8,,,2,,,,
2B-52,铝包带1×10,,kg,1.27,1.27,,,2,,,,
2B-52,电力复合脂一级,,kg,0.02,0.02,,,2,,,,
2B-52,钳接管JT-35L(QL-35),,只,1.01,1.01,,,2,,,,
2B-52,并沟线夹JB-1,,只,5.05,5.05,,,2,,,,
2B-52,铝绑线Φ2,,m,80.23,80.23,,,2,,,,
2B-52,载重汽车装载质量5t,,台班,0.1,0.1,,,3,,,,
2B-52,液压压接机压力100t,,台班,0.07,0.07,,,3,,,,
2B-53,综合用工二类,,工日,2.221,4.358,,,1,,,,
2B-53,裸铝绞线,,m,1013,1013,*,,5,,,,
2B-53,棉纱头,,kg,0.05,0.06,,,2,,,,
2B-53,汽油,,kg,0.05,0.05,,,2,,,,
2B-53,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-53,钢锯条,,根,0.8,1,,,2,,,,
2B-53,铝包带1×10,,kg,1.27,2.54,,,2,,,,
2B-53,电力复合脂一级,,kg,0.02,0.05,,,2,,,,
2B-53,钳接管JT-95L(QL-95),,只,0,2.02,,,2,,,,
2B-53,并沟线夹JB-2,,只,0,5.05,,,2,,,,
2B-53,铝绑线Φ3.2,,m,0,100.29,,,2,,,,
2B-53,载重汽车装载质量5t,,台班,0.1,0.15,,,3,,,,
2B-53,液压压接机压力100t,,台班,0.07,0.09,,,3,,,,
2B-54,综合用工二类,,工日,2.221,6.889,,,1,,,,
2B-54,裸铝绞线,,m,1013,1013,*,,5,,,,
2B-54,棉纱头,,kg,0.05,0.07,,,2,,,,
2B-54,汽油,,kg,0.05,0.05,,,2,,,,
2B-54,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-54,钢锯条,,根,0.8,1.5,,,2,,,,
2B-54,铝包带1×10,,kg,1.27,2.71,,,2,,,,
2B-54,电力复合脂一级,,kg,0.02,0.08,,,2,,,,
2B-54,铝绑线Φ3.2,,m,0,106.97,,,2,,,,
2B-54,钳接管JT-150L(QL-150),,只,0,2.02,,,2,,,,
2B-54,并沟线夹JB-3,,只,0,5.05,,,2,,,,
2B-54,载重汽车装载质量5t,,台班,0.1,0.18,,,3,,,,
2B-54,液压压接机压力100t,,台班,0.07,0.11,,,3,,,,
2B-55,综合用工二类,,工日,2.221,9.763,,,1,,,,
2B-55,裸铝绞线,,m,1013,1013,*,,5,,,,
2B-55,棉纱头,,kg,0.05,0.08,,,2,,,,
2B-55,汽油,,kg,0.05,0.06,,,2,,,,
2B-55,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-55,钢锯条,,根,0.8,2,,,2,,,,
2B-55,铝包带1×10,,kg,1.27,3.39,,,2,,,,
2B-55,电力复合脂一级,,kg,0.02,0.1,,,2,,,,
2B-55,铝绑线Φ3.2,,m,0,120.34,,,2,,,,
2B-55,钳接管JT-240L(QL-240),,只,0,2.02,,,2,,,,
2B-55,并沟线夹JB-4,,只,0,5.05,,,2,,,,
2B-55,载重汽车装载质量5t,,台班,0.1,0.2,,,3,,,,
2B-55,液压压接机压力100t,,台班,0.07,0.15,,,3,,,,
2B-56,综合用工二类,,工日,2.453,2.453,,,1,,,,
2B-56,钢芯铝绞线,,m,1013,1013,*,,5,,,,
2B-56,棉纱头,,kg,0.05,0.05,,,2,,,,
2B-56,汽油,,kg,0.05,0.05,,,2,,,,
2B-56,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-56,钢锯条,,根,1,1,,,2,,,,
2B-56,铝包带1×10,,kg,1.27,1.27,,,2,,,,
2B-56,电力复合脂一级,,kg,0.02,0.02,,,2,,,,
2B-56,并沟线夹JB-1,,只,5.05,5.05,,,2,,,,
2B-56,铝绑线Φ2,,m,80.23,80.23,,,2,,,,
2B-56,钳接管JT-35(QLG-35),,只,1.01,1.01,,,2,,,,
2B-56,载重汽车装载质量5t,,台班,0.1,0.1,,,3,,,,
2B-56,液压压接机压力100t,,台班,0.07,0.07,,,3,,,,
2B-57,综合用工二类,,工日,2.453,4.942,,,1,,,,
2B-57,钢芯铝绞线,,m,1013,1013,*,,5,,,,
2B-57,棉纱头,,kg,0.05,0.06,,,2,,,,
2B-57,汽油,,kg,0.05,0.05,,,2,,,,
2B-57,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-57,钢锯条,,根,1,1.2,,,2,,,,
2B-57,铝包带1×10,,kg,1.27,2.54,,,2,,,,
2B-57,电力复合脂一级,,kg,0.02,0.05,,,2,,,,
2B-57,并沟线夹JB-2,,只,0,5.05,,,2,,,,
2B-57,铝绑线Φ3.2,,m,0,100.29,,,2,,,,
2B-57,钳接管JT-95(QLG-95),,只,0,2.02,,,2,,,,
2B-57,载重汽车装载质量5t,,台班,0.1,0.15,,,3,,,,
2B-57,液压压接机压力100t,,台班,0.07,0.09,,,3,,,,
2B-58,综合用工二类,,工日,2.453,7.468,,,1,,,,
2B-58,钢芯铝绞线,,m,1013,1013,*,,5,,,,
2B-58,棉纱头,,kg,0.05,0.07,,,2,,,,
2B-58,汽油,,kg,0.05,0.05,,,2,,,,
2B-58,防锈漆C53-1,,kg,0.05,0.05,,,2,,,,
2B-58,钢锯条,,根,1,1.7,,,2,,,,
2B-58,铝包带1×10,,kg,1.27,2.71,,,2,,,,
2B-58,电力复合脂一级,,kg,0.02,0.08,,,2,,,,
2B-58,铝绑线Φ3.2,,m,0,106.97,,,2,,,,
2B-58,并沟线夹JB-3,,只,0,5.05,,,2,,,,
2B-58,钳接管JT-150(QLG-150),,只,0,2.02,,,2,,,,
